baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
289.1993124,-4.004772302,0.549759705,-7.28458682,3.23E-13,5.57E-11,ENSG00000116774,OLFML3,protein_coding,olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956],38,no,-2.799653355,-6.902878768,-2.467594958,-4.700332137,-4.910624408,-2.942724454
207.9640166,-3.983802796,0.505642931,-7.878687804,3.31E-15,9.17E-13,ENSG00000006638,TBXA2R,protein_coding,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608],39,no,-2.508714782,-4.633263928,-3.410109464,-3.209877819,-6.441375226,-4.37083631
1005.738605,-3.973317012,0.422919161,-9.394979885,5.72E-21,3.42E-18,ENSG00000155666,KDM8,protein_coding,lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840],40,no,-3.934077654,-3.080882771,-5.459005748,-4.479525966,-2.557406392,-4.320367283
102.9870255,-3.934463761,0.449393482,-8.755053018,2.04E-18,9.31E-16,ENSG00000144820,ADGRG7,protein_coding,adhesion G protein-coupled receptor G7 [Source:HGNC Symbol;Acc:HGNC:19241],41,no,-4.005234578,-4.079188473,-3.237085223,-4.560445962,-3.470279174,-4.358238956
605.4470113,-3.917478473,0.704269528,-5.562470502,2.66E-08,1.36E-06,ENSG00000127954,STEAP4,protein_coding,STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923],42,no,-0.633952939,-2.778018938,-1.153280342,-6.676364496,-5.338477185,-6.779125531
5291.438052,-3.914839125,0.643165491,-6.08683019,1.15E-09,9.12E-08,ENSG00000170345,FOS,protein_coding,"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]",43,no,-0.760500988,-4.048099994,-1.228909192,-6.786113515,-4.254696859,-5.950349213
2220.664942,-3.912473095,0.750173059,-5.21542736,1.83E-07,7.03E-06,ENSG00000125968,ID1,protein_coding,"inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]",44,no,-0.918460256,-7.578717908,0.244270264,-6.365550774,-2.659975095,-5.680774374
288.3998841,-3.906188233,0.528438664,-7.39194252,1.45E-13,2.74E-11,ENSG00000091831,ESR1,protein_coding,estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467],45,no,-5.318659822,-4.417429223,-1.468755458,-5.440864346,-3.185416785,-3.588851884
569.8333491,-3.885289107,0.760675624,-5.107681891,3.26E-07,1.13E-05,ENSG00000164742,ADCY1,protein_coding,adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232],46,no,-3.410555687,1.142205764,-5.210613012,-5.935801393,-7.587416761,-1.064348782
6354.050199,-3.885120876,0.67278763,-5.774661572,7.71E-09,4.64E-07,ENSG00000175003,SLC22A1,protein_coding,solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963],47,no,-0.729267403,-2.621934668,-5.152279826,-4.39954315,-2.947441045,-8.835478925
